(ibibio_ttscorpus5_001 "bON akam kuukpa mba.")
(ibibio_ttscorpus5_002 "akefeefeRe ajak ikOt abasi.")
(ibibio_ttscorpus5_003 "eJe amaanam aNwaNa ke mme owo enie ntreubOk ke usVN OmmO keetekeet.")
(ibibio_ttscorpus5_004 "abasi amaasiak usVN ubOkkO OnO nditO isred.")
(ibibio_ttscorpus5_005 "ejIn OmO adiben eJe akaaisaN.")
(ibibio_ttscorpus5_006 "eteidVN kiNsidi.")
(ibibio_ttscorpus5_007 "idooRo akpanikO owo edinIm mbo ke owo emi ataaRa Nwet abasi ke ido nsu isibOOhO ufen.")
(ibibio_ttscorpus5_008 "ke ufOkNwet kOretti obo ke asiakka anaa OnO OmmO adijO mme unana mfen OwOttO idem ke ufOkNwet odo.")
(ibibio_ttscorpus5_009 "ebeeNe idem adikIt mbo ke mmimO iminam nO udONO itiaita ami amaana ateek ubOk ke idVN nJIn.")
(ibibio_ttscorpus5_010 "ke ntak emi OmmO ekemiaha ekepkep akai.")
(ibibio_ttscorpus5_011 "ekIt ebo ke ideen isaanake mbiomo ukama ufOk ifiik ibaan ikpOON.")
(ibibio_ttscorpus5_012 "owo ndomokeet iJVNNO ibIp ibaan ibo mme eka ekON mme ke ekaa.")
(ibibio_ttscorpus5_013 "mma kres ekpeJON akeboijokiso ke isaN ekesaNake eseet mme nsio nsio NkpO ibaan ekenaNNake eben ediwOt idVN.")
(ibibio_ttscorpus5_014 "atie iwuot okpokoro Nka rattawu ke ebOJi sted.")
(ibibio_ttscorpus5_015 "njobio owo umOataN amaabo ke afIt nti NkpO owo anieehe oto ubOk abasi.")
(ibibio_ttscorpus5_016 "bastO maksweed OsamO amaataN OsOONO ke ufOk utom kOppa adiisVk ikakaiso iNwam.")
(ibibio_ttscorpus5_017 "ammiiJVNNO ido ukara enie.")
(ibibio_ttscorpus5_018 "akpodo krais amaanekke ajiire.")
(ibibio_ttscorpus5_019 "ke mme idaha ufOk ake imO ikiide ke aNwa ufOkNwet odo.")
(ibibio_ttscorpus5_020 "ke NkpO nte isua tOsIn keet je ikie usVkkeet je anaaN je efIteta sIm isua ekeboijoke do OnO mbon Nwo ke itie OkVk.")
(ibibio_ttscorpus5_021 "ke abaNa uduak edija utom umINNkpO ake ukara nnOO mbonowo.")
(ibibio_ttscorpus5_022 "njobio owo nseabasi ette.")
(ibibio_ttscorpus5_023 "ke emVm umiaN nditO akwa ibom edueehe mbet ufOk utom emi.")
(ibibio_ttscorpus5_024 "ke ekpesVk odo eeJImme ebo ke ibaan esON itak afara unamNkpO.")
(ibibio_ttscorpus5_025 "ke idaha esVkkO enam mbeeNeidem ebaNa edikoono akpa iduOk nditO ufOkNwet ukpeepNkpO mbaNa ibOk mbakara mme nsONidem ndON.")
(ibibio_ttscorpus5_026 "dOkta desi wiidisIn.")
(ibibio_ttscorpus5_027 "mbOk idakka do innO ke edinIm utom emi nO akpeene ntom.")
(ibibio_ttscorpus5_028 "nniehe idoteJen ke idem owo emi atOONOke utom OmO je Nkara ke esIt.")
(ibibio_ttscorpus5_029 "ekamba awetNwet ke ufOkutom enamma NkpO ebaNa isON mme ubOOp ufOk aketaN ami.")
(ibibio_ttscorpus5_030 "eJe akedo aNwaan ete jOOn esien abaaha ke ufOk utom usuanmbVk ake ekebe ndise ujo.")
(ibibio_ttscorpus5_031 "editwak nda ke mben usVN.")
(ibibio_ttscorpus5_032 "amaakwOOrO obo nO ikOt abasi ejaak uwem OmmO esIn abasi ke ubOk mbaak ebO edidiON abasi.")
(ibibio_ttscorpus5_033 "owo ibarake ikaN ikeene daNa udVk ikOt OJOON.")
(ibibio_ttscorpus5_034 "eebOppO ke idIt keetekeet anaasIne NkpO siben ufOn isOk ibaan.")
(ibibio_ttscorpus5_035 "ekamba ase NkpO mbaNa kooberetif defedopmen baNk.")
(ibibio_ttscorpus5_036 "mbaak OmmO ekeme ediwuO nda ke usVN OfOnnO.")
(ibibio_ttscorpus5_037 "ikiduOONO ke kiiJaN.")
(ibibio_ttscorpus5_038 "nO eJe je ikOt utom OmO eewOt nJIn Nkem OmmO OjOhOOjOhO.")
(ibibio_ttscorpus5_039 "mbon unam nduuNO eben ewOt ebo ke otu bidiOn owo ke afIt unadot eedoNNoke OkpOikpOi uweene.")
(ibibio_ttscorpus5_040 "amaanam ediOONO ke esaik mme itie adiduuNO udONO itiaita ke ijiip mme owo mi ke sted nJIn.")
(ibibio_ttscorpus5_041 "je nditO ete ebe OmmO ke ini mme ebe OmmO ekpaaha ekpON OmmO.")
(ibibio_ttscorpus5_042 "eJe ikisitreke editiik idem ke ini ke ini.")
(ibibio_ttscorpus5_043 "ke imO itie nte asasawrek.")
(ibibio_ttscorpus5_044 "ObOON fiktO attah amaakOOm mbon ufOkutom emi.")
(ibibio_ttscorpus5_045 "ete joo akenofa amaabo nO mbon se ibO mfOn ami etIm ekama OkVk ami.")
(ibibio_ttscorpus5_046 "mfOn jems ejO ake ufOkutom usuanmbVk ake ekebe ndise ujo.")
(ibibio_ttscorpus5_047 "OmmO emaedON idem OmmO okpoho ke nnuun nte idiONO edidiana keet.")
(ibibio_ttscorpus5_048 "nsinia okon amaadian obo ke ufOn ntVnO odo edikpVRO owo nO akappa OfOn.")
(ibibio_ttscorpus5_049 "emaesIn ebeeNe ebo nO ukara enO mmoto bOOs.")
(ibibio_ttscorpus5_050 "anam nO ntAkejIn esIn idem OmmO ke edinam mme ido ammiikpinaaha nte OmmO enam.")
(ibibio_ttscorpus5_051 "nJIn iminIm ite ke eJe OObO nduOk odudu.")
(ibibio_ttscorpus5_052 "OJVN OkOOm mme aJam urua odo ke edimaana ntOONO utom adibOOp mme ufOk urua odo ke idem OmmO.")
(ibibio_ttscorpus5_053 "enam nduuNO ese me mme edinam se eduak ediifOn die je ibaan.")
(ibibio_ttscorpus5_054 "mbOkOp inVN odo mbOkOp edat.")
(ibibio_ttscorpus5_055 "kristian kuujeeme ke ini aNwan.")
(ibibio_ttscorpus5_056 "odooho kOmred emma eseoke.")
(ibibio_ttscorpus5_057 "etAk OsVhO krais amaajem itImme NkpON utom eJe akediihe.")
(ibibio_ttscorpus5_058 "ekenImme ke umuahia.")
(ibibio_ttscorpus5_059 "amaakop iduOesIt abaNa unOmO ake bOmb akesiine ke dekOs.")
(ibibio_ttscorpus5_060 "daNa ekenONNO mme Nkpoon owo ke ufOk utom usuanmbVk ake ekebe ndise OkVk udeeme NkpodARo ufOk.")
(ibibio_ttscorpus5_061 "ufOk abasi odo ekesooboke ke isua itiaba akeboijoke do.")
(ibibio_ttscorpus5_062 "OJVN akIt obo ke eesOONO mme mbet akItte obo ke owoNwaan OdO ndO oto ke uJImme OmO.")
(ibibio_ttscorpus5_063 "aakpenamma nO mme owo esifiik unen ibaan enieehe ke ntak edido owoNwaan.")
(ibibio_ttscorpus5_064 "saNa saNa OnO item ke sains mme teknoroji.")
(ibibio_ttscorpus5_065 "muusOppOsOp idem udakka ke mmi.")
(ibibio_ttscorpus5_066 "enO mbio efiommoke ibaan ukpeep NkpO ke editre mme uto eduuwem ntom.")
(ibibio_ttscorpus5_067 "ibaaha owo se ikpikikan inAk eJe isIn ke itie utaN ikO.")
(ibibio_ttscorpus5_068 "eJVN enam nduuNO ekIt ke enam mme ukpuuNO NkpO.")
(ibibio_ttscorpus5_069 "ke andidiito ikan inam nO akaisaN asINNe OfON ufVhO.")
(ibibio_ttscorpus5_070 "ekIt ebo ke ekpeme ibaan je ubOikpa eedANNoke ke mme itie ekON aNwanake.")
(ibibio_ttscorpus5_071 "eJe Nko amaabo nO ekpAho mme itie ke idem enjin akebiarake do.")
(ibibio_ttscorpus5_072 "dajOn ake kameruun emaekan Nka madi ke NkpO nte kOOd ita ke imOmOnO.")
